Date,Exchange Rate
01.01.2019,1.73558
02.01.2019,1.74022
03.01.2019,1.74332
04.01.2019,1.73759
05.01.2019,1.73759
06.01.2019,1.73759
07.01.2019,1.74208
08.01.2019,1.7413
09.01.2019,1.74161
10.01.2019,1.73451
11.01.2019,1.7267
12.01.2019,1.7267
13.01.2019,1.7267
14.01.2019,1.73728
15.01.2019,1.73605
16.01.2019,1.73558
17.01.2019,1.72899
18.01.2019,1.72609
19.01.2019,1.72609
20.01.2019,1.72609
21.01.2019,1.72426
22.01.2019,1.72685
23.01.2019,1.72548
24.01.2019,1.73343
25.01.2019,1.72929
26.01.2019,1.72929
27.01.2019,1.72929
28.01.2019,1.72609
29.01.2019,1.72289
30.01.2019,1.71519
31.01.2019,1.71429
01.02.2019,1.71624
02.02.2019,1.71624
03.02.2019,1.71624
04.02.2019,1.71249
05.02.2019,1.71024
06.02.2019,1.71654
07.02.2019,1.72214
08.02.2019,1.72214
09.02.2019,1.72214
10.02.2019,1.72214
11.02.2019,1.72305
12.02.2019,1.7185
13.02.2019,1.72002
14.02.2019,1.72017
15.02.2019,1.72472
16.02.2019,1.72472
17.02.2019,1.72472
18.02.2019,1.72153
19.02.2019,1.72305
20.02.2019,1.72441
21.02.2019,1.72062
22.02.2019,1.72381
23.02.2019,1.72381
24.02.2019,1.72381
25.02.2019,1.72305
26.02.2019,1.72002
27.02.2019,1.72259
28.02.2019,1.72548
01.03.2019,1.72123
02.03.2019,1.72123
03.03.2019,1.72123
04.03.2019,1.72123
05.03.2019,1.72457
06.03.2019,1.72168
07.03.2019,1.72244
08.03.2019,1.72715
09.03.2019,1.72715
10.03.2019,1.72715
11.03.2019,1.72335
12.03.2019,1.72032
13.03.2019,1.71971
14.03.2019,1.72305
15.03.2019,1.72168
16.03.2019,1.72168
17.03.2019,1.72168
18.03.2019,1.72168
19.03.2019,1.72274
20.03.2019,1.72502
21.03.2019,1.72945
22.03.2019,1.7396
23.03.2019,1.7396
24.03.2019,1.7396
25.03.2019,1.74053
26.03.2019,1.74285
27.03.2019,1.7469
28.03.2019,1.74862
29.03.2019,1.74924
30.03.2019,1.74924
31.03.2019,1.74924
01.04.2019,1.7494
02.04.2019,1.74706
03.04.2019,1.74534
04.04.2019,1.74519
05.04.2019,1.74084
06.04.2019,1.74084
07.04.2019,1.74084
08.04.2019,1.73929
09.04.2019,1.73543
10.04.2019,1.73389
11.04.2019,1.73021
12.04.2019,1.72685
13.04.2019,1.72685
14.04.2019,1.72685
15.04.2019,1.72396
16.04.2019,1.72002
17.04.2019,1.71564
18.04.2019,1.7182
19.04.2019,1.7182
20.04.2019,1.7182
21.04.2019,1.7182
22.04.2019,1.7182
23.04.2019,1.70517
24.04.2019,1.71324
25.04.2019,1.72047
26.04.2019,1.72047
27.04.2019,1.72047
28.04.2019,1.72047
29.04.2019,1.72047
30.04.2019,1.71009
01.05.2019,1.71009
02.05.2019,1.71279
03.05.2019,1.7182
04.05.2019,1.7182
05.05.2019,1.7182
06.05.2019,1.7182
07.05.2019,1.71339
08.05.2019,1.71459
09.05.2019,1.71715
10.05.2019,1.71896
11.05.2019,1.71896
12.05.2019,1.71896
13.05.2019,1.72792
14.05.2019,1.72975
15.05.2019,1.73451
16.05.2019,1.7299
17.05.2019,1.73343
18.05.2019,1.73343
19.05.2019,1.73343
20.05.2019,1.73651
21.05.2019,1.73481
22.05.2019,1.73821
23.05.2019,1.74254
24.05.2019,1.74254
25.05.2019,1.74254
26.05.2019,1.74254
27.05.2019,1.73743
28.05.2019,1.7379
29.05.2019,1.74363
30.05.2019,1.74192
31.05.2019,1.7441
01.06.2019,1.7441
02.06.2019,1.7441
03.06.2019,1.75222
04.06.2019,1.74971
05.06.2019,1.75206
06.06.2019,1.75034
07.06.2019,1.74768
08.06.2019,1.74768
09.06.2019,1.74768
10.06.2019,1.74628
11.06.2019,1.74115
12.06.2019,1.73821
13.06.2019,1.74519
14.06.2019,1.74456
15.06.2019,1.74456
16.06.2019,1.74456
17.06.2019,1.7441
18.06.2019,1.75018
19.06.2019,1.75003
20.06.2019,1.75537
21.06.2019,1.7609
22.06.2019,1.7609
23.06.2019,1.7609
24.06.2019,1.76058
25.06.2019,1.76074
26.06.2019,1.75995
27.06.2019,1.75868
28.06.2019,1.76122
29.06.2019,1.76122
30.06.2019,1.76122
01.07.2019,1.75552
02.07.2019,1.75112
03.07.2019,1.75947
04.07.2019,1.75884
05.07.2019,1.75789
06.07.2019,1.75789
07.07.2019,1.75789
08.07.2019,1.75773
09.07.2019,1.75616
10.07.2019,1.75679
11.07.2019,1.75979
12.07.2019,1.76408
13.07.2019,1.76408
14.07.2019,1.76408
15.07.2019,1.76662
16.07.2019,1.76599
17.07.2019,1.7628
18.07.2019,1.76774
19.07.2019,1.77271
20.07.2019,1.77271
21.07.2019,1.77271
22.07.2019,1.7769
23.07.2019,1.78046
24.07.2019,1.78094
25.07.2019,1.77981
26.07.2019,1.7695
27.07.2019,1.7695
28.07.2019,1.7695
29.07.2019,1.77207
30.07.2019,1.77191
31.07.2019,1.77142
01.08.2019,1.77997
02.08.2019,1.78925
03.08.2019,1.78925
04.08.2019,1.78925
05.08.2019,1.79549
06.08.2019,1.79122
07.08.2019,1.79089
08.08.2019,1.79056
09.08.2019,1.79483
10.08.2019,1.79483
11.08.2019,1.79483
12.08.2019,1.7983
13.08.2019,1.80211
14.08.2019,1.80062
15.08.2019,1.80045
16.08.2019,1.80194
17.08.2019,1.80194
18.08.2019,1.80194
19.08.2019,1.79698
20.08.2019,1.80095
21.08.2019,1.79846
22.08.2019,1.79352
23.08.2019,1.79549
24.08.2019,1.79549
25.08.2019,1.79549
26.08.2019,1.79681
27.08.2019,1.79698
28.08.2019,1.79896
29.08.2019,1.79764
30.08.2019,1.79286
31.08.2019,1.79286
01.09.2019,1.79286
02.09.2019,1.79846
03.09.2019,1.8061
04.09.2019,1.80294
05.09.2019,1.80045
06.09.2019,1.80045
07.09.2019,1.80045
08.09.2019,1.80045
09.09.2019,1.79056
10.09.2019,1.78729
11.09.2019,1.78876
12.09.2019,1.79566
13.09.2019,1.78778
14.09.2019,1.78778
15.09.2019,1.78778
16.09.2019,1.78909
17.09.2019,1.78354
18.09.2019,1.77819
19.09.2019,1.78289
20.09.2019,1.78745
21.09.2019,1.78745
22.09.2019,1.78745
23.09.2019,1.78745
24.09.2019,1.79797
25.09.2019,1.8041
26.09.2019,1.80029
27.09.2019,1.80095
28.09.2019,1.80095
29.09.2019,1.80095
30.09.2019,1.80311
01.10.2019,1.79335
02.10.2019,1.78778
03.10.2019,1.78501
04.10.2019,1.7922
05.10.2019,1.7922
06.10.2019,1.7922
07.10.2019,1.7904
08.10.2019,1.79467
09.10.2019,1.78991
10.10.2019,1.78647
11.10.2019,1.774
12.10.2019,1.774
13.10.2019,1.774
14.10.2019,1.78078
15.10.2019,1.78175
16.10.2019,1.77851
17.10.2019,1.77948
18.10.2019,1.77867
19.10.2019,1.77867
20.10.2019,1.77867
21.10.2019,1.7777
22.10.2019,1.77738
23.10.2019,1.77738
24.10.2019,1.77496
25.10.2019,1.77496
26.10.2019,1.77496
27.10.2019,1.77496
28.10.2019,1.77046
29.10.2019,1.77142
30.10.2019,1.77287
31.10.2019,1.7769
01.11.2019,1.77593
02.11.2019,1.77593
03.11.2019,1.77593
04.11.2019,1.77464
05.11.2019,1.77657
06.11.2019,1.77641
07.11.2019,1.77835
08.11.2019,1.77948
09.11.2019,1.77948
10.11.2019,1.77948
11.11.2019,1.78256
12.11.2019,1.78403
13.11.2019,1.79533
14.11.2019,1.7988
15.11.2019,1.7904
16.11.2019,1.7904
17.11.2019,1.7904
18.11.2019,1.78452
19.11.2019,1.78143
20.11.2019,1.78175
21.11.2019,1.77835
22.11.2019,1.779
23.11.2019,1.779
24.11.2019,1.779
25.11.2019,1.78029
26.11.2019,1.77916
27.11.2019,1.78029
28.11.2019,1.77948
29.11.2019,1.77835
30.11.2019,1.77835
01.12.2019,1.77835
02.12.2019,1.77884
03.12.2019,1.78664
04.12.2019,1.78517
05.12.2019,1.78387
06.12.2019,1.78321
07.12.2019,1.78321
08.12.2019,1.78321
09.12.2019,1.78468
10.12.2019,1.79073
11.12.2019,1.79171
12.12.2019,1.78794
13.12.2019,1.78094
14.12.2019,1.78094
15.12.2019,1.78094
16.12.2019,1.78566
17.12.2019,1.7868
18.12.2019,1.7922
19.12.2019,1.7945
20.12.2019,1.79714
21.12.2019,1.79714
22.12.2019,1.79714
23.12.2019,1.79929
24.12.2019,1.79929
25.12.2019,1.79929
26.12.2019,1.79929
27.12.2019,1.79599
28.12.2019,1.79599
29.12.2019,1.79599
30.12.2019,1.79913
31.12.2019,1.80194
