Date,Exchange Rate
01.01.2017,2.28437
02.01.2017,2.28437
03.01.2017,2.31281
04.01.2017,2.30247
05.01.2017,2.28913
06.01.2017,2.28357
07.01.2017,2.28357
08.01.2017,2.28357
09.01.2017,2.2569
10.01.2017,2.24963
11.01.2017,2.25521
12.01.2017,2.25214
13.01.2017,2.23401
14.01.2017,2.23401
15.01.2017,2.23401
16.01.2017,2.22739
17.01.2017,2.25352
18.01.2017,2.2524
19.01.2017,2.25964
20.01.2017,2.25859
21.01.2017,2.25859
22.01.2017,2.25859
23.01.2017,2.27031
24.01.2017,2.265
25.01.2017,2.29227
26.01.2017,2.29711
27.01.2017,2.29638
28.01.2017,2.29638
29.01.2017,2.29638
30.01.2017,2.30274
31.01.2017,2.27145
01.02.2017,2.28972
02.02.2017,2.27242
03.02.2017,2.27388
04.02.2017,2.27388
05.02.2017,2.27388
06.02.2017,2.27554
07.02.2017,2.26553
08.02.2017,2.29248
09.02.2017,2.29854
10.02.2017,2.29315
11.02.2017,2.29315
12.02.2017,2.29315
13.02.2017,2.30396
14.02.2017,2.29833
15.02.2017,2.30103
16.02.2017,2.298
17.02.2017,2.28165
18.02.2017,2.28165
19.02.2017,2.28165
20.02.2017,2.29706
21.02.2017,2.30477
22.02.2017,2.31596
23.02.2017,2.31109
24.02.2017,2.31451
25.02.2017,2.31451
26.02.2017,2.31451
27.02.2017,2.29342
28.02.2017,2.29275
01.03.2017,2.28618
02.03.2017,2.28592
03.03.2017,2.28592
04.03.2017,2.28592
05.03.2017,2.28592
06.03.2017,2.26632
07.03.2017,2.2556
08.03.2017,2.25448
09.03.2017,2.25708
10.03.2017,2.24164
11.03.2017,2.24164
12.03.2017,2.24164
13.03.2017,2.24143
14.03.2017,2.23363
15.03.2017,2.2462
16.03.2017,2.253
17.03.2017,2.2515
18.03.2017,2.2515
19.03.2017,2.2515
20.03.2017,2.25344
21.03.2017,2.25448
22.03.2017,2.25352
23.03.2017,2.26702
24.03.2017,2.25846
25.03.2017,2.25846
26.03.2017,2.25846
27.03.2017,2.26361
28.03.2017,2.26225
29.03.2017,2.26409
30.03.2017,2.26947
31.03.2017,2.2861
01.04.2017,2.2861
02.04.2017,2.2861
03.04.2017,2.29396
04.04.2017,2.28423
05.04.2017,2.28725
06.04.2017,2.28512
07.04.2017,2.28557
08.04.2017,2.28557
09.04.2017,2.28557
10.04.2017,2.29194
11.04.2017,2.29208
12.04.2017,2.30532
13.04.2017,2.30741
14.04.2017,2.30741
15.04.2017,2.30741
16.04.2017,2.30741
17.04.2017,2.30741
18.04.2017,2.31802
19.04.2017,2.34428
20.04.2017,2.33059
21.04.2017,2.33616
22.04.2017,2.33616
23.04.2017,2.33616
24.04.2017,2.30559
25.04.2017,2.30293
26.04.2017,2.30361
27.04.2017,2.31679
28.04.2017,2.31533
29.04.2017,2.31533
30.04.2017,2.31533
01.05.2017,2.31533
02.05.2017,2.31404
03.05.2017,2.31624
04.05.2017,2.30736
05.05.2017,2.30885
06.05.2017,2.30885
07.05.2017,2.30885
08.05.2017,2.30885
09.05.2017,2.32008
10.05.2017,2.32878
11.05.2017,2.315
12.05.2017,2.31218
13.05.2017,2.31218
14.05.2017,2.31218
15.05.2017,2.30293
16.05.2017,2.27772
17.05.2017,2.28098
18.05.2017,2.29119
19.05.2017,2.27666
20.05.2017,2.27666
21.05.2017,2.27666
22.05.2017,2.26492
23.05.2017,2.26204
24.05.2017,2.26204
25.05.2017,2.26034
26.05.2017,2.24318
27.05.2017,2.24318
28.05.2017,2.24318
29.05.2017,2.24568
30.05.2017,2.25344
31.05.2017,2.23869
01.06.2017,2.24215
02.06.2017,2.24118
03.06.2017,2.24118
04.06.2017,2.24118
05.06.2017,2.24473
06.06.2017,2.24215
07.06.2017,2.25046
08.06.2017,2.25443
09.06.2017,2.23171
10.06.2017,2.23171
11.06.2017,2.23171
12.06.2017,2.20885
13.06.2017,2.22064
14.06.2017,2.22354
15.06.2017,2.23166
16.06.2017,2.23644
17.06.2017,2.23644
18.06.2017,2.23644
19.06.2017,2.23477
20.06.2017,2.21893
21.06.2017,2.22734
22.06.2017,2.2183
23.06.2017,2.22747
24.06.2017,2.22747
25.06.2017,2.22747
26.06.2017,2.22684
27.06.2017,2.21323
28.06.2017,2.20935
29.06.2017,2.22279
30.06.2017,2.22423
01.07.2017,2.22423
02.07.2017,2.22423
03.07.2017,2.23001
04.07.2017,2.22747
05.07.2017,2.22925
06.07.2017,2.22221
07.07.2017,2.21028
08.07.2017,2.21028
09.07.2017,2.21028
10.07.2017,2.2114
11.07.2017,2.21453
12.07.2017,2.19942
13.07.2017,2.21712
14.07.2017,2.22296
15.07.2017,2.22296
16.07.2017,2.22296
17.07.2017,2.22874
18.07.2017,2.20301
19.07.2017,2.21035
20.07.2017,2.20455
21.07.2017,2.1826
22.07.2017,2.1826
23.07.2017,2.1826
24.07.2017,2.18895
25.07.2017,2.18785
26.07.2017,2.19079
27.07.2017,2.19811
28.07.2017,2.18363
