Date,Exchange Rate
01.01.2017,1.37851
02.01.2017,1.37851
03.01.2017,1.40082
04.01.2017,1.40768
05.01.2017,1.40042
06.01.2017,1.39314
07.01.2017,1.39314
08.01.2017,1.39314
09.01.2017,1.40163
10.01.2017,1.39782
11.01.2017,1.40515
12.01.2017,1.40263
13.01.2017,1.39602
14.01.2017,1.39602
15.01.2017,1.39602
16.01.2017,1.40434
17.01.2017,1.40173
18.01.2017,1.39842
19.01.2017,1.38036
20.01.2017,1.3757
21.01.2017,1.3757
22.01.2017,1.3757
23.01.2017,1.37097
24.01.2017,1.37088
25.01.2017,1.39007
26.01.2017,1.39225
27.01.2017,1.39583
28.01.2017,1.39583
29.01.2017,1.39583
30.01.2017,1.39872
31.01.2017,1.39146
01.02.2017,1.38741
02.02.2017,1.39205
03.02.2017,1.39473
04.02.2017,1.39473
05.02.2017,1.39473
06.02.2017,1.39832
07.02.2017,1.38987
08.02.2017,1.39503
09.02.2017,1.39543
10.02.2017,1.40052
11.02.2017,1.40052
12.02.2017,1.40052
13.02.2017,1.40535
14.02.2017,1.41297
15.02.2017,1.41634
16.02.2017,1.41062
17.02.2017,1.40414
18.02.2017,1.40414
19.02.2017,1.40414
20.02.2017,1.40525
21.02.2017,1.41317
22.02.2017,1.41276
23.02.2017,1.41032
24.02.2017,1.40636
25.02.2017,1.40636
26.02.2017,1.40636
27.02.2017,1.40819
28.02.2017,1.39862
01.03.2017,1.39264
02.03.2017,1.39017
03.03.2017,1.39017
04.03.2017,1.39017
05.03.2017,1.39017
06.03.2017,1.379
07.03.2017,1.37822
08.03.2017,1.37802
09.03.2017,1.3704
10.03.2017,1.36561
11.03.2017,1.36561
12.03.2017,1.36561
13.03.2017,1.36295
14.03.2017,1.36409
15.03.2017,1.36857
16.03.2017,1.36992
17.03.2017,1.3681
18.03.2017,1.3681
19.03.2017,1.3681
20.03.2017,1.36209
21.03.2017,1.36304
22.03.2017,1.35277
23.03.2017,1.35944
24.03.2017,1.3537
25.03.2017,1.3537
26.03.2017,1.3537
27.03.2017,1.34551
28.03.2017,1.34458
