Date,Exchange Rate
01.01.2018,1.27449
02.01.2018,1.26895
03.01.2018,1.27507
04.01.2018,1.27018
05.01.2018,1.27324
06.01.2018,1.27324
07.01.2018,1.27324
08.01.2018,1.27924
09.01.2018,1.28318
10.01.2018,1.27924
11.01.2018,1.27991
12.01.2018,1.26862
13.01.2018,1.26862
14.01.2018,1.26862
15.01.2018,1.26722
16.01.2018,1.27175
17.01.2018,1.27715
18.01.2018,1.2774
19.01.2018,1.27815
20.01.2018,1.27815
21.01.2018,1.27815
22.01.2018,1.27941
23.01.2018,1.27291
24.01.2018,1.27749
25.01.2018,1.27349
26.01.2018,1.27167
27.01.2018,1.27167
28.01.2018,1.27167
29.01.2018,1.27815
30.01.2018,1.27457
31.01.2018,1.27358
01.02.2018,1.25639
02.02.2018,1.25133
03.02.2018,1.25133
04.02.2018,1.25133
05.02.2018,1.24861
06.02.2018,1.24353
07.02.2018,1.24702
08.02.2018,1.24623
09.02.2018,1.24409
10.02.2018,1.24409
11.02.2018,1.24409
12.02.2018,1.25013
13.02.2018,1.24456
14.02.2018,1.2452
15.02.2018,1.24125
16.02.2018,1.24615
17.02.2018,1.24615
18.02.2018,1.24615
19.02.2018,1.24766
20.02.2018,1.24989
21.02.2018,1.24702
22.02.2018,1.24583
23.02.2018,1.24417
24.02.2018,1.24417
25.02.2018,1.24417
26.02.2018,1.24496
27.02.2018,1.24591
28.02.2018,1.25077
01.03.2018,1.24211
02.03.2018,1.23124
03.03.2018,1.23124
04.03.2018,1.23124
05.03.2018,1.23124
06.03.2018,1.23474
07.03.2018,1.22939
08.03.2018,1.22915
09.03.2018,1.24006
10.03.2018,1.24006
11.03.2018,1.24006
12.03.2018,1.25045
13.03.2018,1.2471
14.03.2018,1.25021
15.03.2018,1.24298
16.03.2018,1.23318
17.03.2018,1.23318
18.03.2018,1.23318
19.03.2018,1.22285
20.03.2018,1.22746
21.03.2018,1.22285
22.03.2018,1.22438
23.03.2018,1.22408
24.03.2018,1.22408
25.03.2018,1.22408
26.03.2018,1.21874
27.03.2018,1.21707
28.03.2018,1.21239
29.03.2018,1.21965
30.03.2018,1.21965
31.03.2018,1.21965
01.04.2018,1.21965
02.04.2018,1.21965
03.04.2018,1.22285
04.04.2018,1.22408
05.04.2018,1.22699
06.04.2018,1.22699
07.04.2018,1.22699
08.04.2018,1.22699
09.04.2018,1.22699
10.04.2018,1.22423
11.04.2018,1.22392
12.04.2018,1.23062
13.04.2018,1.23779
14.04.2018,1.23779
15.04.2018,1.23779
16.04.2018,1.22792
17.04.2018,1.22931
18.04.2018,1.226
19.04.2018,1.2307
20.04.2018,1.22369
21.04.2018,1.22369
22.04.2018,1.22369
23.04.2018,1.22163
24.04.2018,1.2195
25.04.2018,1.21344
26.04.2018,1.21707
27.04.2018,1.22431
28.04.2018,1.22431
29.04.2018,1.22431
30.04.2018,1.2214
01.05.2018,1.2214
02.05.2018,1.22339
03.05.2018,1.22807
04.05.2018,1.22892
05.05.2018,1.22892
06.05.2018,1.22892
07.05.2018,1.22892
08.05.2018,1.22784
09.05.2018,1.2283
10.05.2018,1.2328
11.05.2018,1.23779
12.05.2018,1.23779
13.05.2018,1.23779
14.05.2018,1.23311
15.05.2018,1.23342
16.05.2018,1.24251
17.05.2018,1.24726
18.05.2018,1.2479
19.05.2018,1.2479
20.05.2018,1.2479
21.05.2018,1.25221
22.05.2018,1.25833
23.05.2018,1.25825
24.05.2018,1.25825
25.05.2018,1.26804
26.05.2018,1.26804
27.05.2018,1.26804
28.05.2018,1.2692
29.05.2018,1.27283
30.05.2018,1.26928
31.05.2018,1.26887
01.06.2018,1.26231
02.06.2018,1.26231
03.06.2018,1.26231
04.06.2018,1.2774
05.06.2018,1.2754
06.06.2018,1.27291
07.06.2018,1.26534
08.06.2018,1.26215
09.06.2018,1.26215
10.06.2018,1.26215
11.06.2018,1.26174
12.06.2018,1.26134
13.06.2018,1.26134
14.06.2018,1.26069
15.06.2018,1.26036
16.06.2018,1.26036
17.06.2018,1.26036
18.06.2018,1.25293
19.06.2018,1.24615
20.06.2018,1.2467
21.06.2018,1.24861
22.06.2018,1.24726
23.06.2018,1.24726
24.06.2018,1.24726
25.06.2018,1.24243
26.06.2018,1.23959
27.06.2018,1.24377
28.06.2018,1.23959
29.06.2018,1.23889
30.06.2018,1.23889
01.07.2018,1.23889
02.07.2018,1.23591
03.07.2018,1.24093
04.07.2018,1.24077
05.07.2018,1.23622
06.07.2018,1.23716
07.07.2018,1.23716
08.07.2018,1.23716
09.07.2018,1.2414
10.07.2018,1.24266
11.07.2018,1.23248
12.07.2018,1.23959
13.07.2018,1.24069
14.07.2018,1.24069
15.07.2018,1.24069
16.07.2018,1.23999
17.07.2018,1.23708
18.07.2018,1.23834
19.07.2018,1.23755
20.07.2018,1.23646
21.07.2018,1.23646
22.07.2018,1.23646
23.07.2018,1.23622
24.07.2018,1.2381
25.07.2018,1.24054
26.07.2018,1.23849
27.07.2018,1.24062
28.07.2018,1.24062
29.07.2018,1.24062
30.07.2018,1.23826
31.07.2018,1.23755
01.08.2018,1.24046
02.08.2018,1.23936
03.08.2018,1.24663
04.08.2018,1.24663
05.08.2018,1.24663
06.08.2018,1.25141
07.08.2018,1.25382
08.08.2018,1.24997
09.08.2018,1.25165
10.08.2018,1.24774
11.08.2018,1.24774
12.08.2018,1.24774
13.08.2018,1.24814
14.08.2018,1.24607
15.08.2018,1.24822
16.08.2018,1.24997
17.08.2018,1.24814
18.08.2018,1.24814
19.08.2018,1.24814
20.08.2018,1.25125
21.08.2018,1.24917
22.08.2018,1.23904
23.08.2018,1.23101
24.08.2018,1.23256
25.08.2018,1.23256
26.08.2018,1.23256
27.08.2018,1.23117
28.08.2018,1.22823
29.08.2018,1.22323
30.08.2018,1.22125
31.08.2018,1.21262
01.09.2018,1.21262
02.09.2018,1.21262
03.09.2018,1.21412
04.09.2018,1.21548
05.09.2018,1.21149
06.09.2018,1.21149
07.09.2018,1.20589
08.09.2018,1.20589
09.09.2018,1.20589
10.09.2018,1.20307
11.09.2018,1.19916
12.09.2018,1.20226
13.09.2018,1.20977
14.09.2018,1.20285
15.09.2018,1.20285
16.09.2018,1.20285
17.09.2018,1.203
18.09.2018,1.20403
19.09.2018,1.21412
20.09.2018,1.21044
21.09.2018,1.21074
22.09.2018,1.21074
23.09.2018,1.21074
24.09.2018,1.21074
25.09.2018,1.20477
26.09.2018,1.20715
27.09.2018,1.2073
28.09.2018,1.21874
29.09.2018,1.21874
30.09.2018,1.21874
01.10.2018,1.21707
02.10.2018,1.21624
03.10.2018,1.21134
04.10.2018,1.20477
05.10.2018,1.20211
06.10.2018,1.20211
07.10.2018,1.20211
08.10.2018,1.20418
09.10.2018,1.20708
10.10.2018,1.20686
11.10.2018,1.19887
12.10.2018,1.20463
13.10.2018,1.20463
14.10.2018,1.20463
15.10.2018,1.205
16.10.2018,1.20411
17.10.2018,1.20805
18.10.2018,1.21337
19.10.2018,1.21745
20.10.2018,1.21745
21.10.2018,1.21745
22.10.2018,1.20842
23.10.2018,1.20411
24.10.2018,1.2173
25.10.2018,1.21518
26.10.2018,1.21164
27.10.2018,1.21164
28.10.2018,1.21164
29.10.2018,1.21775
30.10.2018,1.22049
31.10.2018,1.22454
01.11.2018,1.23342
02.11.2018,1.23474
03.11.2018,1.23474
04.11.2018,1.23474
05.11.2018,1.23763
06.11.2018,1.23873
07.11.2018,1.2418
08.11.2018,1.2483
09.11.2018,1.24869
10.11.2018,1.24869
11.11.2018,1.24869
12.11.2018,1.25189
13.11.2018,1.25149
14.11.2018,1.24917
15.11.2018,1.25664
16.11.2018,1.25189
17.11.2018,1.25189
18.11.2018,1.25189
19.11.2018,1.24893
20.11.2018,1.2448
21.11.2018,1.24377
22.11.2018,1.24409
23.11.2018,1.24512
