Date,Exchange Rate
01.01.2008,1.35925
02.01.2008,1.34745
03.01.2008,1.33358
04.01.2008,1.34394
05.01.2008,1.34394
06.01.2008,1.34394
07.01.2008,1.32923
08.01.2008,1.32833
09.01.2008,1.32698
10.01.2008,1.32267
11.01.2008,1.2968
12.01.2008,1.2968
13.01.2008,1.2968
14.01.2008,1.2891
15.01.2008,1.29559
16.01.2008,1.29337
17.01.2008,1.30328
18.01.2008,1.3018
19.01.2008,1.3018
20.01.2008,1.3018
21.01.2008,1.31
22.01.2008,1.30799
23.01.2008,1.30502
24.01.2008,1.31325
25.01.2008,1.31981
26.01.2008,1.31981
27.01.2008,1.31981
28.01.2008,1.31768
29.01.2008,1.32518
30.01.2008,1.32833
31.01.2008,1.31741
01.02.2008,1.31732
02.02.2008,1.31732
03.02.2008,1.31732
04.02.2008,1.31937
05.02.2008,1.33322
06.02.2008,1.33004
07.02.2008,1.32761
08.02.2008,1.34542
09.02.2008,1.34542
10.02.2008,1.34542
11.02.2008,1.34551
12.02.2008,1.34653
13.02.2008,1.34311
14.02.2008,1.34329
15.02.2008,1.33641
16.02.2008,1.33641
17.02.2008,1.33641
18.02.2008,1.32761
19.02.2008,1.3183
20.02.2008,1.31273
21.02.2008,1.31044
22.02.2008,1.30432
23.02.2008,1.30432
24.02.2008,1.30432
25.02.2008,1.31396
26.02.2008,1.32851
27.02.2008,1.32671
28.02.2008,1.32338
29.02.2008,1.31308
01.03.2008,1.31308
02.03.2008,1.31308
03.03.2008,1.31308
04.03.2008,1.30085
05.03.2008,1.29663
06.03.2008,1.29551
07.03.2008,1.29792
08.03.2008,1.29792
09.03.2008,1.29792
10.03.2008,1.28724
11.03.2008,1.28159
12.03.2008,1.27815
13.03.2008,1.27316
14.03.2008,1.26354
15.03.2008,1.26354
16.03.2008,1.26354
17.03.2008,1.24663
18.03.2008,1.24782
19.03.2008,1.25093
20.03.2008,1.23654
21.03.2008,1.23654
22.03.2008,1.23654
23.03.2008,1.23654
24.03.2008,1.23654
25.03.2008,1.23241
26.03.2008,1.2263
27.03.2008,1.21593
28.03.2008,1.21631
29.03.2008,1.21631
30.03.2008,1.21631
31.03.2008,1.20537
01.04.2008,1.21714
02.04.2008,1.23039
03.04.2008,1.24401
04.04.2008,1.23615
05.04.2008,1.23615
06.04.2008,1.23615
07.04.2008,1.23755
08.04.2008,1.22931
09.04.2008,1.22072
10.04.2008,1.20984
11.04.2008,1.21187
12.04.2008,1.21187
13.04.2008,1.21187
14.04.2008,1.20559
15.04.2008,1.20969
16.04.2008,1.21684
17.04.2008,1.23039
18.04.2008,1.22569
19.04.2008,1.22569
20.04.2008,1.22569
21.04.2008,1.22738
22.04.2008,1.21942
23.04.2008,1.21074
24.04.2008,1.21919
25.04.2008,1.23311
26.04.2008,1.23311
27.04.2008,1.23311
28.04.2008,1.23311
29.04.2008,1.23928
30.04.2008,1.24663
01.05.2008,1.24663
02.05.2008,1.24663
03.05.2008,1.24663
04.05.2008,1.24663
05.05.2008,1.24663
06.05.2008,1.24663
07.05.2008,1.26493
08.05.2008,1.25793
09.05.2008,1.25438
10.05.2008,1.25438
11.05.2008,1.25438
12.05.2008,1.26109
13.05.2008,1.2568
14.05.2008,1.26944
15.05.2008,1.26215
16.05.2008,1.2646
17.05.2008,1.2646
18.05.2008,1.2646
19.05.2008,1.26289
20.05.2008,1.26166
21.05.2008,1.26109
22.05.2008,1.26231
23.05.2008,1.25915
24.05.2008,1.25915
25.05.2008,1.25915
26.05.2008,1.2547
27.05.2008,1.25607
28.05.2008,1.25551
29.05.2008,1.27815
30.05.2008,1.27151
31.05.2008,1.27151
01.06.2008,1.27151
02.06.2008,1.26509
03.06.2008,1.25213
04.06.2008,1.25293
05.06.2008,1.24361
06.06.2008,1.22962
07.06.2008,1.22962
08.06.2008,1.22962
09.06.2008,1.21209
10.06.2008,1.224
11.06.2008,1.23967
12.06.2008,1.2374
13.06.2008,1.24203
14.06.2008,1.24203
15.06.2008,1.24203
16.06.2008,1.23101
17.06.2008,1.23661
18.06.2008,1.2381
19.06.2008,1.2448
20.06.2008,1.23748
21.06.2008,1.23748
22.06.2008,1.23748
23.06.2008,1.24038
24.06.2008,1.23607
25.06.2008,1.23896
26.06.2008,1.23016
27.06.2008,1.23396
28.06.2008,1.23396
29.06.2008,1.23396
30.06.2008,1.22684
01.07.2008,1.2176
02.07.2008,1.21164
03.07.2008,1.21352
04.07.2008,1.22777
05.07.2008,1.22777
06.07.2008,1.22777
07.07.2008,1.22331
08.07.2008,1.22446
09.07.2008,1.226
10.07.2008,1.23179
11.07.2008,1.21556
12.07.2008,1.21556
13.07.2008,1.21556
14.07.2008,1.22278
15.07.2008,1.224
16.07.2008,1.22854
17.07.2008,1.23318
18.07.2008,1.23
19.07.2008,1.23
20.07.2008,1.23
21.07.2008,1.22846
22.07.2008,1.22676
23.07.2008,1.23248
24.07.2008,1.23537
25.07.2008,1.22484
26.07.2008,1.22484
27.07.2008,1.22484
28.07.2008,1.21578
29.07.2008,1.21578
30.07.2008,1.22661
31.07.2008,1.22469
01.08.2008,1.22392
02.08.2008,1.22392
03.08.2008,1.22392
04.08.2008,1.21973
05.08.2008,1.20969
06.08.2008,1.21037
07.08.2008,1.20723
08.08.2008,1.21669
09.08.2008,1.21669
10.08.2008,1.21669
11.08.2008,1.2214
12.08.2008,1.2273
13.08.2008,1.22885
14.08.2008,1.23983
15.08.2008,1.24694
16.08.2008,1.24694
17.08.2008,1.24694
18.08.2008,1.25712
19.08.2008,1.25077
20.08.2008,1.25053
21.08.2008,1.2539
22.08.2008,1.26166
23.08.2008,1.26166
24.08.2008,1.26166
25.08.2008,1.26804
26.08.2008,1.27175
27.08.2008,1.26862
28.08.2008,1.26542
29.08.2008,1.26101
30.08.2008,1.26101
31.08.2008,1.26101
01.09.2008,1.25494
02.09.2008,1.26321
03.09.2008,1.26183
04.09.2008,1.27465
05.09.2008,1.28724
06.09.2008,1.28724
07.09.2008,1.28724
08.09.2008,1.29602
09.09.2008,1.30128
10.09.2008,1.29611
11.09.2008,1.30825
12.09.2008,1.30076
13.09.2008,1.30076
14.09.2008,1.30076
15.09.2008,1.29183
16.09.2008,1.27974
17.09.2008,1.28877
18.09.2008,1.27084
19.09.2008,1.29064
20.09.2008,1.29064
21.09.2008,1.29064
22.09.2008,1.29064
23.09.2008,1.28394
24.09.2008,1.28631
25.09.2008,1.28631
26.09.2008,1.29115
27.09.2008,1.29115
28.09.2008,1.29115
29.09.2008,1.31009
30.09.2008,1.30729
01.10.2008,1.31158
