Date,Exchange Rate
01.01.2015,2.5001
02.01.2015,2.5001
03.01.2015,2.5001
04.01.2015,2.5001
05.01.2015,2.49882
06.01.2015,2.49404
07.01.2015,2.5001
08.01.2015,2.50394
09.01.2015,2.5078
10.01.2015,2.5078
11.01.2015,2.5078
12.01.2015,2.51037
13.01.2015,2.51813
14.01.2015,2.52268
15.01.2015,2.54931
16.01.2015,2.56099
17.01.2015,2.56099
18.01.2015,2.56099
19.01.2015,2.55197
20.01.2015,2.56099
21.01.2015,2.54964
22.01.2015,2.55865
23.01.2015,2.6172
24.01.2015,2.6172
25.01.2015,2.6172
26.01.2015,2.61143
27.01.2015,2.61737
28.01.2015,2.61965
29.01.2015,2.61562
30.01.2015,2.60395
31.01.2015,2.60395
01.02.2015,2.60395
02.02.2015,2.59876
03.02.2015,2.59411
04.02.2015,2.60222
05.02.2015,2.61405
06.02.2015,2.6172
07.02.2015,2.6172
08.02.2015,2.6172
09.02.2015,2.63767
10.02.2015,2.63589
11.02.2015,2.64444
12.02.2015,2.65161
13.02.2015,2.64266
14.02.2015,2.64266
15.02.2015,2.64266
16.02.2015,2.63553
17.02.2015,2.63093
18.02.2015,2.65305
19.02.2015,2.65054
20.02.2015,2.66172
21.02.2015,2.66172
22.02.2015,2.66172
23.02.2015,2.66027
24.02.2015,2.66317
25.02.2015,2.66898
26.02.2015,2.67885
27.02.2015,2.68732
28.02.2015,2.68732
01.03.2015,2.68732
02.03.2015,2.68732
03.03.2015,2.68732
04.03.2015,2.69435
05.03.2015,2.69732
06.03.2015,2.70891
07.03.2015,2.70891
08.03.2015,2.70891
09.03.2015,2.72172
10.03.2015,2.74387
11.03.2015,2.77994
12.03.2015,2.75819
13.03.2015,2.73447
14.03.2015,2.73447
15.03.2015,2.73447
16.03.2015,2.74271
17.03.2015,2.71662
18.03.2015,2.70516
19.03.2015,2.72286
20.03.2015,2.69584
21.03.2015,2.69584
22.03.2015,2.69584
23.03.2015,2.67263
24.03.2015,2.66317
25.03.2015,2.65557
26.03.2015,2.65341
27.03.2015,2.67995
28.03.2015,2.67995
29.03.2015,2.67995
30.03.2015,2.66898
31.03.2015,2.68917
01.04.2015,2.68474
02.04.2015,2.67336
03.04.2015,2.67336
04.04.2015,2.67336
05.04.2015,2.67336
06.04.2015,2.67336
07.04.2015,2.68437
08.04.2015,2.6925
09.04.2015,2.69102
10.04.2015,2.69102
11.04.2015,2.69102
12.04.2015,2.69102
13.04.2015,2.69102
14.04.2015,2.71003
15.04.2015,2.72856
16.04.2015,2.72059
17.04.2015,2.71681
18.04.2015,2.71681
19.04.2015,2.71681
20.04.2015,2.71813
21.04.2015,2.72134
22.04.2015,2.74348
23.04.2015,2.7278
24.04.2015,2.73199
25.04.2015,2.73199
26.04.2015,2.73199
27.04.2015,2.73084
28.04.2015,2.73543
29.04.2015,2.73122
30.04.2015,2.69139
01.05.2015,2.69139
02.05.2015,2.69139
03.05.2015,2.69139
04.05.2015,2.65061
05.05.2015,2.66099
06.05.2015,2.66099
07.05.2015,2.63411
08.05.2015,2.68658
09.05.2015,2.68658
10.05.2015,2.68658
11.05.2015,2.71794
12.05.2015,2.73008
13.05.2015,2.72628
14.05.2015,2.70478
15.05.2015,2.71229
16.05.2015,2.71229
17.05.2015,2.71229
18.05.2015,2.69028
19.05.2015,2.70947
20.05.2015,2.73275
21.05.2015,2.75508
22.05.2015,2.74003
23.05.2015,2.74003
24.05.2015,2.74003
25.05.2015,2.74003
26.05.2015,2.75624
27.05.2015,2.76638
28.05.2015,2.74541
29.05.2015,2.72021
30.05.2015,2.72021
31.05.2015,2.72021
01.06.2015,2.71926
02.06.2015,2.7003
03.06.2015,2.68843
04.06.2015,2.65955
05.06.2015,2.67299
06.06.2015,2.67299
07.06.2015,2.67299
08.06.2015,2.67263
09.06.2015,2.65955
10.06.2015,2.6851
11.06.2015,2.69176
12.06.2015,2.69956
13.06.2015,2.69956
14.06.2015,2.69956
15.06.2015,2.70366
16.06.2015,2.72324
17.06.2015,2.7278
18.06.2015,2.72894
19.06.2015,2.74156
20.06.2015,2.74156
21.06.2015,2.74156
22.06.2015,2.72818
23.06.2015,2.7543
24.06.2015,2.74772
25.06.2015,2.74464
26.06.2015,2.7458
27.06.2015,2.7458
28.06.2015,2.7458
29.06.2015,2.76052
30.06.2015,2.74927
01.07.2015,2.75838
02.07.2015,2.75353
03.07.2015,2.75391
04.07.2015,2.75391
05.07.2015,2.75391
06.07.2015,2.76247
07.07.2015,2.76364
08.07.2015,2.72666
09.07.2015,2.72552
10.07.2015,2.71342
11.07.2015,2.71342
12.07.2015,2.71342
13.07.2015,2.74888
14.07.2015,2.76091
15.07.2015,2.7762
16.07.2015,2.80165
17.07.2015,2.80084
18.07.2015,2.80084
19.07.2015,2.80084
20.07.2015,2.80567
21.07.2015,2.79924
22.07.2015,2.80125
23.07.2015,2.77659
24.07.2015,2.76677
25.07.2015,2.76677
26.07.2015,2.76677
27.07.2015,2.74425
28.07.2015,2.76481
29.07.2015,2.77305
30.07.2015,2.79006
31.07.2015,2.77777
01.08.2015,2.77777
02.08.2015,2.77777
03.08.2015,2.78291
04.08.2015,2.78311
05.08.2015,2.80889
06.08.2015,2.78847
07.08.2015,2.77383
08.08.2015,2.77383
09.08.2015,2.77383
10.08.2015,2.76599
11.08.2015,2.75935
12.08.2015,2.73581
13.08.2015,2.75236
14.08.2015,2.73734
15.08.2015,2.73734
16.08.2015,2.73734
17.08.2015,2.75275
18.08.2015,2.77738
19.08.2015,2.77462
20.08.2015,2.74003
21.08.2015,2.71719
22.08.2015,2.71719
23.08.2015,2.71719
24.08.2015,2.67849
25.08.2015,2.68289
26.08.2015,2.67409
27.08.2015,2.67482
28.08.2015,2.67153
29.08.2015,2.67153
30.08.2015,2.67153
31.08.2015,2.68832
01.09.2015,2.66898
02.09.2015,2.65413
03.09.2015,2.6628
04.09.2015,2.67373
05.09.2015,2.67373
06.09.2015,2.67373
07.09.2015,2.67794
08.09.2015,2.69993
09.09.2015,2.69732
10.09.2015,2.69194
11.09.2015,2.67702
12.09.2015,2.67702
13.09.2015,2.67702
14.09.2015,2.6668
15.09.2015,2.66244
16.09.2015,2.69157
17.09.2015,2.68418
18.09.2015,2.67995
19.09.2015,2.67995
20.09.2015,2.67995
21.09.2015,2.67995
22.09.2015,2.67995
23.09.2015,2.68032
24.09.2015,2.64766
25.09.2015,2.6619
26.09.2015,2.6619
27.09.2015,2.6619
28.09.2015,2.66027
29.09.2015,2.64623
30.09.2015,2.64838
01.10.2015,2.65485
02.10.2015,2.6581
03.10.2015,2.6581
04.10.2015,2.6581
05.10.2015,2.6423
06.10.2015,2.64337
07.10.2015,2.6581
08.10.2015,2.65521
09.10.2015,2.64052
10.10.2015,2.64052
11.10.2015,2.64052
12.10.2015,2.64266
13.10.2015,2.61475
14.10.2015,2.6366
15.10.2015,2.64409
16.10.2015,2.65882
17.10.2015,2.65882
18.10.2015,2.65882
19.10.2015,2.67299
20.10.2015,2.66027
21.10.2015,2.66136
22.10.2015,2.67409
23.10.2015,2.71813
24.10.2015,2.71813
25.10.2015,2.71813
26.10.2015,2.72248
27.10.2015,2.71116
